,Unnamed: 0,stim1_location,stim2_location,response1_area1,responsestrength1_area1,reactivation_area1,REACT1,response2_area1,responsestrength2_area1,response1_area2,responsestrength1_area2,reactivation_area2,REACT2,reactstrength_area1,reactstrength_area2,response2_area2,responsestrength2_area2,delay1,delay2,ITI,stim_start,stim2_start,stim_duration,react_start,react_end,react_strength,window,steps,across_factor,stim1_location_rad,stim2_location_rad,response1,response2,response1Err,response2Err,across_factor_label
242,242,82,204,1.45138310539814,1.0170014056446477,-1.4818621034956885,True,-2.6959894240977764,1.0369616662469854,1.457403323325921,1.0001088985197486,0.8591607468303247,True,0.0022474605350719,0.795728757385684,-2.695917143197184,1.0017615250545695,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.4311699866353502,-2.722713633111154,1.45439321436203,-2.6959532836474804,0.02322322772667971,0.026760349463673422,0.0%
248,248,74,286,1.2429675726288625,1.0170674921588003,2.8315421945236743,True,-1.4137494939564763,1.0756655078844226,1.3103583801085266,0.9939293485789868,1.2292326737560149,True,0.4419658004998397,1.2804125806444202,-1.168765030605235,1.0385787555121184,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.2915436464758039,-1.2915436464758034,1.2766629763686943,-1.2912572622808556,-0.014880670107109624,0.00028638419494790584,0.0%
251,251,140,282,2.395837350566431,1.0533522685239016,3.0874813095783544,True,-1.4424648903324555,1.082381444866187,2.4965030589434347,1.0270334404670385,2.0415599119493653,True,0.0025609153275434,1.5088655547583332,-1.3224196088586042,0.95372806347739,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.443460952792061,-1.3613568165555767,2.4461702047549325,-1.3824422495955297,0.00270925196287132,-0.02108543303995302,0.0%
253,253,330,120,-0.5573956872097885,1.046124008811343,-0.5424012534509345,True,2.0088023435223823,1.0296403267017056,-0.6078799274900131,1.028398508696129,2.359384476184703,True,1.107525038594773,0.0040999321500569,2.0164227224887417,1.0893763292900829,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.5235987755982991,2.0943951023931953,-0.5826378073499003,2.0126125330055613,-0.059039031751601224,-0.08178256938763402,0.0%
261,261,72,86,1.3780889822402955,1.0648199780850611,0.997741642363792,True,1.4241206250923857,1.066641976037893,1.1729801394961046,0.9966841344499806,0.2753254984194361,True,0.9606417308027964,0.0004237317642043,1.652201071322032,1.0372716998089777,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.2566370614359172,1.5009831567151235,1.2755345608681994,1.5381608482072089,0.018897499432282115,0.03717769149208539,0.0%
263,263,200,323,-2.852215047111625,1.035224998837131,1.0343244173180224,True,-0.6917025605049728,0.9916566491395744,-2.780535206754556,1.0244677741163422,-2.611028182183607,True,0.0108942076606813,1.661405381999805,-0.5460085586164295,1.0444027805909326,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-2.792526803190927,-0.6457718232379017,-2.8163751269330906,-0.6188555595607013,-0.02384832374216344,0.02691626367720053,0.0%
271,271,310,340,-0.920347814317855,1.062910928971842,-1.61644072610527,True,-0.2364855758354381,0.9967795250805735,-0.9315022068622644,1.0571101367884894,0.9950247922977956,True,0.0145490722234449,0.002801208554183,-0.4305484649229533,0.9560509388944424,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.8726646259971647,-0.3490658503988655,-0.9259250105900594,-0.3335170203791957,-0.05326038459289479,0.015548830019669727,0.0%
279,279,53,330,0.904344169042592,1.0370225243269473,-0.1023268781485839,True,-0.4650237995774793,1.072105017715207,1.057691219978231,0.982929552394328,-2.5052802277278734,True,0.004048970793197,0.0136757444727071,-0.5925392351085528,1.0490694746991829,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.9250245035569946,-0.5235987755982991,0.9810176945104114,-0.5287815173430159,0.05599319095341686,-0.005182741744716786,0.0%
291,291,175,57,3.1062919410417984,1.0209124734458626,0.701494888985079,True,1.0854280193007766,1.0388150609680065,3.0666700679286163,1.0541486596429577,-0.6356932815454067,True,0.0070285301076129,0.0019729749130689,1.0980153942126876,1.059851811907594,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,3.0543261909900767,0.9948376736367679,3.086481004485206,1.091721706756731,0.032154813495129275,0.09688403311996313,0.0%
300,300,9,293,0.2893287858015948,0.9732144707410528,-2.293845867219679,True,-1.107351721670203,1.0299534260680074,0.0561716611311219,1.0366152405674764,1.2050212929174242,True,0.5693919873580129,0.0039650849242455,-1.1069555651068783,1.0006910650671823,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.15707963267948966,-1.1693705988362009,0.17275022346635804,-1.1071536433885405,0.015670590786868405,0.06221695544766032,0.0%
302,302,111,214,1.7349266393365186,1.0582946529423871,-1.635191848230405,True,-2.6748740379962186,0.9536927396554208,2.039349805967368,1.0220443878109648,-0.9367617297887676,True,0.0008874214795046,0.0072968399522238,-2.6043899504403925,1.0911022986396,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.9373154697137058,-2.548180707911721,1.8871382226519433,-2.6396319942183055,-0.05017724706176249,-0.09145128630658442,0.0%
310,310,28,153,0.4943124344417266,0.97969129205579,-0.9040962941634478,True,2.5515779046103906,0.9743421081095154,0.7276577892420787,0.97116252664656,0.2695437973594635,True,0.0004009412657607,0.0853443137754301,2.7417094718654416,1.0820582823348754,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.4886921905584123,2.670353755551324,0.6109851118419023,2.6466436882379147,0.12229292128349,-0.023710067313409418,0.0%
314,314,56,98,1.09063389479711,1.0578598775959294,-1.6597672124922638,True,1.8150902401043465,0.9706936494503736,1.0354004733597857,1.0633756510809342,0.8029614519484433,True,0.000663626727357,1.418585288993214,1.6534695078459067,0.9385321149178152,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.9773843811168246,1.710422666954443,1.063017184078447,1.7342798739751268,0.08563280296162243,0.02385720702068395,0.0%
320,320,210,18,-2.5679931611304405,1.0303196087972306,-1.8537631315011105,True,0.0484330018627237,1.0655900338683346,-2.830111111147681,0.9775538774912048,2.319545724234497,True,0.0101877140100128,0.0070023253867004,0.1739383258532624,1.0226279526800557,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-2.617993877991494,0.3141592653589793,-2.699052136139061,0.111185663857992,-0.08105825814756695,-0.2029736015009873,0.0%
322,322,158,119,2.76626871203206,1.0410376249069455,-2.680100479186909,True,2.1949955317912724,1.0144761592787153,2.720645019180292,0.9648709228070916,-0.7419678370354416,True,0.0031502159434923,0.0011986685265703,2.0303482363228804,1.0066556214486506,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.7576202181510405,2.076941809873252,2.743456865606176,2.1126718840570753,-0.014163352544864338,0.03573007418382309,0.0%
327,327,276,160,-1.429152228069378,0.9490746676833524,-1.7506539712221103,True,2.9167081673657065,1.0285558445217342,-1.4695437345640998,1.0461974741562892,-1.9085891714711487,True,1.2114337811840306,0.005866491470167,2.631741719036816,0.9251934942899306,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.466076571675237,2.792526803190927,-1.4493479813167387,2.7742249432012613,0.016728590358498385,-0.018301859989665756,0.0%
337,337,149,286,2.599294949349477,1.0740913309035307,2.5510495461677123,True,-1.2406559908399148,1.073920120966093,2.584491646600225,1.0616842586534043,0.941990377046092,True,1.2923108754412735,0.0054248799075986,-1.2662067700611368,1.000271846859379,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.600540585471551,-1.2915436464758034,2.59189329797485,-1.2534313804505257,-0.00864728749670105,0.03811226602527776,0.0%
